word,pos,level,desc
"take (PERFORM ACTION)","verb","B1","used with some nouns to say that someone performs an action"
"take care of sb/sth","verb","B1","to look after someone or something"
"take (WRITE)","verb","B1","to write something"
"take (STUDY)","verb","B1","to study a subject in order to do an exam"
"take part","verb","B1","to be involved in an activity with other people"
"take place","verb","B1","to happen"
"take a break/rest, etc.","verb","B1","to stop working for a short period"
"take advantage of sth","verb","B1","to use something good in a situation to help you"
"take it/things easy ()","verb","B1","to relax and not use too much energy"
"take (CLOTHES)","verb","B1","to wear a particular size of clothes"
"take milk/sugar, etc.","verb","B2","to usually have milk/sugar, etc. in your tea or coffee"
"take (REMOVE NUMBER)","verb","B2","to remove one number from another number"
"take (GRAMMAR)","verb","B2","to need or be followed by another word or structure in order to be grammatically correct"
"can't take sth","verb","B2","to not be able to deal with an unpleasant situation"
"take sth/sb seriously","verb","B2","to consider a person, subject or situation to be important or dangerous and worth your attention or respect"
"take pleasure/pride/an interest, etc.","verb","B2","to have a particular, good feeling about something or someone"
"take account of sth","verb","B2","to consider something when judging a situation"
"take into account sth","verb","B2","to consider something when judging a situation"
"take advantage of sb/sth","verb","B2","to treat someone or something badly in order to get what you want"
"take your breath away ()","verb","B2","If something takes your breath away, you feel surprise and admiration because it is so beautiful or exciting."
"take effect","verb","C1","to start to produce results or changes"
"take charge","verb","B2","to take control of or make yourself responsible for something"
"take control","verb","B2","to start to rule or govern an area"
"take a deep breath","verb","B2","to fill your lungs with air"
"take sb's word for it","verb","B2","to believe what someone says without any proof"
"take sb/sth for granted","verb","B2","to not show that you are grateful for someone or something, and forget that you are lucky to have them"
"take it for granted","verb","B2","to believe that something is true without checking or thinking about it"
"take the/this opportunity to do sth","verb","B2","to use an occasion to do or say something"
"take sb's place","verb","B2","to do something instead of someone else"
"take your time","verb","C1","to do something without hurrying"
"take it from me","verb","C1","accept that what I say is true, because I know or have experienced it"
"take care of sth/doing sth","verb","C1","to be responsible for dealing with something"
"take sth on board","verb","C1","to understand or accept an idea or a piece of information"
"take the initiative","verb","C1","to be the first person to do something that solves a problem or improves a situation"
"take issue (with sb/sth)","verb","C1","to disagree with what someone says or writes"
"take the liberty of doing sth","verb","C1","to do something that will have an effect on someone else, without asking their permission"
"take note (of sth)","verb","C1","to pay careful attention to something"
"take sth personally","verb","C1","to think that someone is criticizing you or to feel that a failure or bad situation is your fault"
"take sb's word for it","verb","C1","to believe what someone says without any proof"
"take (UNDERSTAND)","verb","C2","to understand something in a particular way"
"take sth as it comes","verb","C2","to deal with something as it happens, without planning for it"
"take (MEASURE)","verb","C2","to measure something"
"I take it (that)","verb","C2","used when you think that what you say is probably true"
"take (NEED A QUALITY)","verb","C2","If something takes a particular quality, you need that quality in order to be able to do it."
"not take kindly to sth","verb","C2","to not like something that someone says or does"
"take the law into your own hands","verb","C2","to do something illegal in order to punish someone because you know that the law will not punish that person"
"take exception to sth","verb","C2","to be annoyed or insulted by something"
"take sth to heart","verb","C2","If you take criticism or advice to heart, you think about it seriously, often because it upsets you"
"take the plunge","verb","C2","to do something important or difficult, especially after thinking about it for a long time"
"take shape","verb","C2","to start to develop and become more clear or certain"
"take stock (of sth)","verb","C2","to think carefully about a situation before making a decision"
"take its toll","verb","C2","to have a bad effect on someone or something, especially over a long period of time"
"take a turn for the better/worse","verb","C2","to become better or worse suddenly"
"your take on sth","noun","C2","your opinion about a situation"
"give and take","noun","C2","when people reach agreement by letting each person have part of what they want"
"takeaway","noun","B1","a meal that you buy in a restaurant or shop but eat at home, or a shop that sells this type of meal"
"takeover","noun","C1","when a company gets control of another company"
"tale","noun","B2","a story, especially one which is not true or is difficult to believe"
"talent","noun","B1","a natural ability to do something"
"talented","adjective","B1","with talent"
"talk (SAY)","verb","A1","to say things to someone"
"talk (DISCUSS)","verb","B2","to discuss something with someone, often to try to find a solution to a disagreement"
"talk (LECTURE)","verb","B2","to give a lecture on a subject"
"talk business/politics, etc.","verb","C1","to discuss a particular subject"
"know what you are talking about","verb","C1","to understand a subject because of your experience"
"talk about sth/doing sth","verb","C2","to think about or make plans to do something in the future"
"talk (CONVERSATION)","noun","B1","a conversation between two people, often about a particular subject"
"talk (TO GROUP)","noun","B2","when someone speaks to a group of people about a particular subject"
"talk (PEOPLE)","noun","C2","when people talk about what might happen or be true"
